"docente","lattes"
"Emanuel M. de Souza","http://lattes.cnpq.br/7436135069574190"
"Fabio O. Pedrosa","http://lattes.cnpq.br/5406483331494130"
"Helisson Faoro","http://lattes.cnpq.br/1864025543667883"
"Leonardo M. Cruz","http://lattes.cnpq.br/7947123455502712"
"Maria B. R. Steffens","http://lattes.cnpq.br/3944323379930317"
"Mauro A. A. Castro","http://lattes.cnpq.br/6484877487662355"
"Roberto T. Raittz","http://lattes.cnpq.br/9568041005753425"
"Fabio Passetti","http://lattes.cnpq.br/4216542239143600"
"Alexandre R. Paschoal","http://lattes.cnpq.br/5834088144837137"
"Andre Y. Kashiwabara","http://lattes.cnpq.br/3194328548975437"
"Danilo S. Sanches","http://lattes.cnpq.br/6377657274398145"
"Fabrício M. Lopes","http://lattes.cnpq.br/1660070580824436"
"Priscila T. M. Saito","http://lattes.cnpq.br/6652293216938994"
