docente,lattes,researcherID,gender,genderID
Emanuel M. de Souza,http://lattes.cnpq.br/7436135069574190,Q43130787,male,Q6581097
Fabio O. Pedrosa,http://lattes.cnpq.br/5406483331494130,Q110098784,male,Q6581097
Helisson Faoro,http://lattes.cnpq.br/1864025543667883,Q58909285,male,Q6581097
Leonardo M. Cruz,http://lattes.cnpq.br/7947123455502712,Q56233584,male,Q6581097
Maria B. R. Steffens,http://lattes.cnpq.br/3944323379930317,Q89625580,female,Q6581072
Mauro A. A. Castro,http://lattes.cnpq.br/6484877487662355,Q41049476,male,Q6581097
Roberto T. Raittz,http://lattes.cnpq.br/9568041005753425,Q88017728,male,Q6581097
Fabio Passetti,http://lattes.cnpq.br/4216542239143600,Q75335263,male,Q6581097
Alexandre R. Paschoal,http://lattes.cnpq.br/5834088144837137,Q56321016,male,Q6581097
Andre Y. Kashiwabara,http://lattes.cnpq.br/3194328548975437,Q102434429,male,Q6581097
Danilo S. Sanches,http://lattes.cnpq.br/6377657274398145,Q105627356,male,Q6581097
Fabrício M. Lopes,http://lattes.cnpq.br/1660070580824436,Q56749545,male,Q6581097
Priscila T. M. Saito,http://lattes.cnpq.br/6652293216938994,Q85476059,female,Q6581072
